Exercise,Category,Weight_lbs,Reps,Volume
Barbell Squat,Legs,45.0,5,225.0
Barbell Squat,Legs,50.0,5,250.0
Barbell Squat,Legs,55.0,5,275.0
Barbell Squat,Legs,60.0,3,180.0
Barbell Squat,Legs,50.0,5,250.0
Barbell Squat,Legs,50.0,5,250.0
Barbell Squat,Legs,55.0,5,275.0
Barbell Squat,Legs,55.0,5,275.0
Barbell Squat,Legs,60.0,5,300.0
Barbell Squat,Legs,55.0,5,275.0
Barbell Squat,Legs,55.0,5,275.0
Barbell Squat,Legs,55.0,5,275.0
Barbell Squat,Legs,60.0,5,300.0
Barbell Squat,Legs,60.0,5,300.0
Barbell Squat,Legs,55.0,5,275.0
Barbell Squat,Legs,60.0,5,300.0
Barbell Squat,Legs,60.0,5,300.0
Barbell Squat,Legs,60.0,5,300.0
Barbell Squat,Legs,55.0,5,275.0
Barbell Squat,Legs,60.0,5,300.0
Barbell Squat,Legs,60.0,5,300.0
Barbell Squat,Legs,60.0,5,300.0
Barbell Squat,Legs,60.0,5,300.0
Barbell Squat,Legs,60.0,5,300.0
Barbell Squat,Legs,60.0,5,300.0
Barbell Squat,Legs,60.0,5,300.0
Barbell Squat,Legs,60.0,5,300.0
Barbell Squat,Legs,65.0,3,195.0
Barbell Squat,Legs,65.0,3,195.0
Barbell Squat,Legs,60.0,5,300.0
Barbell Squat,Legs,65.0,3,195.0
Barbell Squat,Legs,65.0,3,195.0
Barbell Squat,Legs,65.0,3,195.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,65.0,4,260.0
Barbell Squat,Legs,65.0,4,260.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,70.0,2,140.0
Barbell Squat,Legs,70.0,2,140.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,70.0,2,140.0
Barbell Squat,Legs,70.0,2,140.0
Barbell Squat,Legs,70.0,2,140.0
Barbell Squat,Legs,70.0,2,140.0
Barbell Squat,Legs,70.0,3,210.0
Barbell Squat,Legs,70.0,3,210.0
Barbell Squat,Legs,70.0,3,210.0
Barbell Squat,Legs,70.0,3,210.0
Barbell Squat,Legs,70.0,3,210.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,60.0,8,480.0
Barbell Squat,Legs,60.0,8,480.0
Barbell Squat,Legs,60.0,8,480.0
Barbell Squat,Legs,60.0,8,480.0
Barbell Squat,Legs,62.5,6,375.0
Barbell Squat,Legs,62.5,6,375.0
Barbell Squat,Legs,62.5,6,375.0
Barbell Squat,Legs,65.0,6,390.0
Barbell Squat,Legs,70.0,3,210.0
Barbell Squat,Legs,65.0,6,390.0
Barbell Squat,Legs,65.0,6,390.0
Barbell Squat,Legs,65.0,6,390.0
Barbell Squat,Legs,60.0,8,480.0
Barbell Squat,Legs,65.0,6,390.0
Barbell Squat,Legs,65.0,6,390.0
Barbell Squat,Legs,65.0,6,390.0
Barbell Squat,Legs,65.0,7,455.0
Barbell Squat,Legs,65.0,7,455.0
Barbell Squat,Legs,65.0,7,455.0
Barbell Squat,Legs,65.0,7,455.0
Barbell Squat,Legs,65.0,6,390.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,65.0,6,390.0
Barbell Squat,Legs,65.0,6,390.0
Barbell Squat,Legs,65.0,8,520.0
Barbell Squat,Legs,65.0,8,520.0
Barbell Squat,Legs,65.0,8,520.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,70.0,5,350.0
Barbell Squat,Legs,70.0,5,350.0
Barbell Squat,Legs,70.0,5,350.0
Barbell Squat,Legs,70.0,5,350.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,70.0,3,210.0
Barbell Squat,Legs,70.0,3,210.0
Barbell Squat,Legs,70.0,3,210.0
Barbell Squat,Legs,70.0,3,210.0
Barbell Squat,Legs,70.0,3,210.0
Barbell Squat,Legs,70.0,3,210.0
Barbell Squat,Legs,70.0,3,210.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,70.0,5,350.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,75.0,2,150.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,4,300.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,70.0,5,350.0
Barbell Squat,Legs,70.0,5,350.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,4,300.0
Barbell Squat,Legs,75.0,4,300.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,70.0,3,210.0
Barbell Squat,Legs,70.0,3,210.0
Barbell Squat,Legs,70.0,3,210.0
Barbell Squat,Legs,70.0,3,210.0
Barbell Squat,Legs,75.0,5,375.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,3,225.0
Barbell Squat,Legs,75.0,4,300.0
Barbell Squat,Legs,75.0,4,300.0
Barbell Squat,Legs,70.0,8,560.0
Barbell Squat,Legs,70.0,6,420.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,73.0,3,219.0
Barbell Squat,Legs,73.0,3,219.0
Barbell Squat,Legs,73.0,3,219.0
Barbell Squat,Legs,73.0,3,219.0
Barbell Squat,Legs,73.0,3,219.0
Barbell Squat,Legs,70.0,5,350.0
Barbell Squat,Legs,70.0,5,350.0
Barbell Squat,Legs,70.0,5,350.0
Barbell Squat,Legs,70.0,5,350.0
Barbell Squat,Legs,70.0,5,350.0
Barbell Squat,Legs,75.0,4,300.0
Barbell Squat,Legs,75.0,4,300.0
Barbell Squat,Legs,75.0,4,300.0
Barbell Squat,Legs,70.0,5,350.0
Barbell Squat,Legs,70.0,5,350.0
Barbell Squat,Legs,65.0,3,195.0
Barbell Squat,Legs,65.0,3,195.0
Barbell Squat,Legs,65.0,3,195.0
Barbell Squat,Legs,65.0,3,195.0
Barbell Squat,Legs,65.0,3,195.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,70.0,5,350.0
Barbell Squat,Legs,65.0,6,390.0
Barbell Squat,Legs,65.0,7,455.0
Barbell Squat,Legs,65.0,8,520.0
Barbell Squat,Legs,65.0,8,520.0
Barbell Squat,Legs,65.0,8,520.0
Barbell Squat,Legs,65.0,8,520.0
Barbell Squat,Legs,65.0,8,520.0
Barbell Squat,Legs,65.0,8,520.0
Barbell Squat,Legs,65.0,8,520.0
Barbell Squat,Legs,65.0,8,520.0
Barbell Squat,Legs,65.0,8,520.0
Barbell Squat,Legs,65.0,8,520.0
Barbell Squat,Legs,67.5,8,540.0
Barbell Squat,Legs,67.5,8,540.0
Barbell Squat,Legs,67.5,8,540.0
Barbell Squat,Legs,67.5,8,540.0
Barbell Squat,Legs,65.0,10,650.0
Barbell Squat,Legs,65.0,10,650.0
Barbell Squat,Legs,65.0,10,650.0
Barbell Squat,Legs,65.0,5,325.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,70.0,5,350.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,70.0,5,350.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,70.0,4,280.0
Barbell Squat,Legs,65.0,5,325.0
