Exercise,Category,Weight_lbs,Reps,Volume
Barbell Bench Press,Push,50.0,5,250.0
Barbell Bench Press,Push,50.0,5,250.0
Barbell Bench Press,Push,55.0,5,275.0
Barbell Bench Press,Push,50.0,5,250.0
Barbell Bench Press,Push,55.0,5,275.0
Barbell Bench Press,Push,55.0,5,275.0
Barbell Bench Press,Push,50.0,6,300.0
Barbell Bench Press,Push,55.0,5,275.0
Barbell Bench Press,Push,55.0,5,275.0
Barbell Bench Press,Push,55.0,5,275.0
Barbell Bench Press,Push,55.0,5,275.0
Barbell Bench Press,Push,55.0,5,275.0
Barbell Bench Press,Push,55.0,6,330.0
Barbell Bench Press,Push,55.0,6,330.0
Barbell Bench Press,Push,55.0,6,330.0
Barbell Bench Press,Push,55.0,6,330.0
Barbell Bench Press,Push,60.0,2,120.0
Barbell Bench Press,Push,60.0,2,120.0
Barbell Bench Press,Push,60.0,2,120.0
Barbell Bench Press,Push,60.0,2,120.0
Barbell Bench Press,Push,60.0,3,180.0
Barbell Bench Press,Push,60.0,3,180.0
Barbell Bench Press,Push,60.0,3,180.0
Barbell Bench Press,Push,60.0,3,180.0
Barbell Bench Press,Push,60.0,3,180.0
Barbell Bench Press,Push,60.0,3,180.0
Barbell Bench Press,Push,60.0,4,240.0
Barbell Bench Press,Push,60.0,4,240.0
Barbell Bench Press,Push,60.0,4,240.0
Barbell Bench Press,Push,60.0,4,240.0
Barbell Bench Press,Push,60.0,4,240.0
Barbell Bench Press,Push,60.0,5,300.0
Barbell Bench Press,Push,60.0,5,300.0
Barbell Bench Press,Push,60.0,5,300.0
Barbell Bench Press,Push,60.0,5,300.0
Barbell Bench Press,Push,60.0,5,300.0
Barbell Bench Press,Push,60.0,5,300.0
Barbell Bench Press,Push,60.0,5,300.0
Barbell Bench Press,Push,60.0,5,300.0
Barbell Bench Press,Push,60.0,5,300.0
Barbell Bench Press,Push,60.0,5,300.0
Barbell Bench Press,Push,60.0,5,300.0
Barbell Bench Press,Push,62.5,2,125.0
Barbell Bench Press,Push,62.5,2,125.0
Barbell Bench Press,Push,62.5,2,125.0
Barbell Bench Press,Push,62.5,2,125.0
Barbell Bench Press,Push,55.0,7,385.0
Barbell Bench Press,Push,55.0,7,385.0
Barbell Bench Press,Push,55.0,7,385.0
Barbell Bench Press,Push,55.0,7,385.0
Barbell Bench Press,Push,55.0,8,440.0
Barbell Bench Press,Push,55.0,8,440.0
Barbell Bench Press,Push,55.0,8,440.0
Barbell Bench Press,Push,55.0,8,440.0
Barbell Bench Press,Push,60.0,6,360.0
Barbell Bench Press,Push,60.0,6,360.0
Barbell Bench Press,Push,60.0,6,360.0
Barbell Bench Press,Push,60.0,6,360.0
Barbell Bench Press,Push,60.0,5,300.0
