Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Bench Press (Barbell)",1,35.0,10,0,0,"","Focusing on CHEST, SHOULDERS and TRICEPS",9
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Bench Press (Barbell)",2,35.0,9,0,0,,,10
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Bench Press (Barbell)",3,35.0,8,0,0,,,10
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Bench Press (Barbell)",4,35.0,7,0,0,,,10
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Incline Cable Chest Fly",1,12.5,12,0,0,"",,9.5
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Incline Cable Chest Fly",2,12.5,10,0,0,,,10
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Incline Cable Chest Fly",3,12.5,8,0,0,,,10
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Incline Cable Chest Fly",4,12.5,7,0,0,,,10
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Overhead Press (Dumbbell)",1,12.0,10,0,0,"",,8
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Overhead Press (Dumbbell)",2,12.0,12,0,0,,,10
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Overhead Press (Dumbbell)",3,12.0,9,0,0,,,10
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Overhead Press (Dumbbell)",4,12.0,12,0,0,,,10
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Lateral Raise (Cable)",1,3.75,24,0,0,"",,10
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Lateral Raise (Cable)",2,3.75,26,0,0,,,10
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Lateral Raise (Cable)",3,3.75,30,0,0,,,10
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Lateral Raise (Cable)",4,3.75,24,0,0,,,10
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Triceps Pushdown (Cable - Straight Bar)",1,21.25,8,0,0,"",,10
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Triceps Pushdown (Cable - Straight Bar)",2,21.25,10,0,0,,,10
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Triceps Pushdown (Cable - Straight Bar)",3,21.25,10,0,0,,,10
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Triceps Pushdown (Cable - Straight Bar)",4,21.25,10,0,0,,,10
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Face Pull (Cable)",1,11.25,20,0,0,"",,7
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Face Pull (Cable)",2,13.75,20,0,0,,,
2021-09-13 10:41:41,"PUSH 1",1h 12m,"Face Pull (Cable)",3,13.75,20,0,0,,,
