date,distance,effective_load,exercise_name,exercise_normalized,notes,reps,rpe,seconds,set_order,set_volume,weight,workout_name,workout_notes,cleaned_workout_name
2021-09-14 10:59:35,0.0,0.0,Lat Pull In,lat pull in,,15,,0,1,120.0,8.0,PULL 1,"Focusing on BACK, BICEPS AND REAR DELTOIDS",pull
2021-09-14 10:59:35,0.0,0.0,Lat Pull In,lat pull in,,15,,0,2,120.0,8.0,PULL 1,,pull
2021-09-14 10:59:35,0.0,33.75,Bent Over One Arm Row (Dumbbell),bent over one arm row,,10,7.5,0,1,450.0,45.0,PULL 1,,pull
2021-09-14 10:59:35,0.0,40.5,Bent Over One Arm Row (Dumbbell),bent over one arm row,,12,9.0,0,2,540.0,45.0,PULL 1,,pull
2021-09-14 10:59:35,0.0,45.0,Bent Over One Arm Row (Dumbbell),bent over one arm row,,9,10.0,0,3,405.0,45.0,PULL 1,,pull
2021-09-14 10:59:35,0.0,40.0,Lat Pulldown - Wide Grip (Cable),lat pulldown - wide grip,,15,10.0,0,1,600.0,40.0,PULL 1,,pull
2021-09-14 10:59:35,0.0,40.0,Lat Pulldown - Wide Grip (Cable),lat pulldown - wide grip,,11,10.0,0,2,440.0,40.0,PULL 1,,pull
2021-09-14 10:59:35,0.0,40.0,Lat Pulldown (Cable),lat pulldown,,13,10.0,0,1,520.0,40.0,PULL 1,,pull
2021-09-14 10:59:35,0.0,40.0,Lat Pulldown (Cable),lat pulldown,,12,10.0,0,2,480.0,40.0,PULL 1,,pull
2021-09-14 10:59:35,0.0,36.0,Lat Pulldown - Underhand Close Grip,lat pulldown - underhand close grip,,10,9.0,0,1,400.0,40.0,PULL 1,,pull
2021-09-14 10:59:35,0.0,36.0,Lat Pulldown - Underhand Close Grip,lat pulldown - underhand close grip,,13,9.0,0,2,520.0,40.0,PULL 1,,pull
2021-09-14 10:59:35,0.0,19.125,Face Pull (Cable),face pull,,15,9.0,0,1,318.75,21.25,PULL 1,,pull
2021-09-14 10:59:35,0.0,15.0,Face Pull (Cable),face pull,,15,8.0,0,2,281.25,18.75,PULL 1,,pull
2021-09-14 10:59:35,0.0,18.0,Incline Row (Dumbbell),incline row,,10,9.0,0,1,200.0,20.0,PULL 1,,pull
2021-09-14 10:59:35,0.0,15.2,Incline Row (Dumbbell),incline row,,10,9.5,0,2,160.0,16.0,PULL 1,,pull
2021-09-14 10:59:35,0.0,11.4,Incline Row (Dumbbell),incline row,,13,9.5,0,3,156.0,12.0,PULL 1,,pull
2021-09-14 10:59:35,0.0,14.0,Bicep Curl (Barbell),bicep curl,,15,8.0,0,1,262.5,17.5,PULL 1,,pull
