date,distance,effective_load,exercise_name,exercise_normalized,notes,reps,rpe,seconds,set_order,set_volume,weight,workout_name,workout_notes,cleaned_workout_name
2021-09-13 10:41:41,0.0,31.5,Bench Press (Barbell),bench press,,10,9.0,0,1,350.0,35.0,PUSH 1,"Focusing on CHEST, SHOULDERS and TRICEPS",push
2021-09-13 10:41:41,0.0,35.0,Bench Press (Barbell),bench press,,9,10.0,0,2,315.0,35.0,PUSH 1,,push
2021-09-13 10:41:41,0.0,35.0,Bench Press (Barbell),bench press,,8,10.0,0,3,280.0,35.0,PUSH 1,,push
2021-09-13 10:41:41,0.0,35.0,Bench Press (Barbell),bench press,,7,10.0,0,4,245.0,35.0,PUSH 1,,push
2021-09-13 10:41:41,0.0,11.875,Incline Cable Chest Fly,incline cable chest fly,,12,9.5,0,1,150.0,12.5,PUSH 1,,push
2021-09-13 10:41:41,0.0,12.5,Incline Cable Chest Fly,incline cable chest fly,,10,10.0,0,2,125.0,12.5,PUSH 1,,push
2021-09-13 10:41:41,0.0,12.5,Incline Cable Chest Fly,incline cable chest fly,,8,10.0,0,3,100.0,12.5,PUSH 1,,push
2021-09-13 10:41:41,0.0,12.5,Incline Cable Chest Fly,incline cable chest fly,,7,10.0,0,4,87.5,12.5,PUSH 1,,push
2021-09-13 10:41:41,0.0,9.6,Overhead Press (Dumbbell),overhead press,,10,8.0,0,1,120.0,12.0,PUSH 1,,push
2021-09-13 10:41:41,0.0,12.0,Overhead Press (Dumbbell),overhead press,,12,10.0,0,2,144.0,12.0,PUSH 1,,push
2021-09-13 10:41:41,0.0,12.0,Overhead Press (Dumbbell),overhead press,,9,10.0,0,3,108.0,12.0,PUSH 1,,push
2021-09-13 10:41:41,0.0,12.0,Overhead Press (Dumbbell),overhead press,,12,10.0,0,4,144.0,12.0,PUSH 1,,push
2021-09-13 10:41:41,0.0,3.75,Lateral Raise (Cable),lateral raise,,24,10.0,0,1,90.0,3.75,PUSH 1,,push
2021-09-13 10:41:41,0.0,3.75,Lateral Raise (Cable),lateral raise,,26,10.0,0,2,97.5,3.75,PUSH 1,,push
2021-09-13 10:41:41,0.0,3.75,Lateral Raise (Cable),lateral raise,,30,10.0,0,3,112.5,3.75,PUSH 1,,push
2021-09-13 10:41:41,0.0,3.75,Lateral Raise (Cable),lateral raise,,24,10.0,0,4,90.0,3.75,PUSH 1,,push
2021-09-13 10:41:41,0.0,21.25,Triceps Pushdown (Cable - Straight Bar),triceps pushdown,,8,10.0,0,1,170.0,21.25,PUSH 1,,push
