date,workout_name,duration,exercise_name,set_order,weight,reps,distance,seconds,notes,workout_notes,rpe,exercise_normalized,set_volume,effective_load
2021-09-13 10:41:41,PUSH 1,,Bench Press (Barbell),1,35.0,10,0,0,,"Focusing on CHEST, SHOULDERS and TRICEPS",9.0,bench press,350.0,31.5
2021-09-13 10:41:41,PUSH 1,,Bench Press (Barbell),2,35.0,9,0,0,,,10.0,bench press,315.0,35.0
2021-09-13 10:41:41,PUSH 1,,Bench Press (Barbell),3,35.0,8,0,0,,,10.0,bench press,280.0,35.0
2021-09-13 10:41:41,PUSH 1,,Bench Press (Barbell),4,35.0,7,0,0,,,10.0,bench press,245.0,35.0
2021-09-13 10:41:41,PUSH 1,,Incline Cable Chest Fly,1,12.5,12,0,0,,,9.5,incline cable chest fly,150.0,11.875
2021-09-13 10:41:41,PUSH 1,,Incline Cable Chest Fly,2,12.5,10,0,0,,,10.0,incline cable chest fly,125.0,12.5
2021-09-13 10:41:41,PUSH 1,,Incline Cable Chest Fly,3,12.5,8,0,0,,,10.0,incline cable chest fly,100.0,12.5
2021-09-13 10:41:41,PUSH 1,,Incline Cable Chest Fly,4,12.5,7,0,0,,,10.0,incline cable chest fly,87.5,12.5
2021-09-13 10:41:41,PUSH 1,,Overhead Press (Dumbbell),1,12.0,10,0,0,,,8.0,overhead press,120.0,9.600000000000001
2021-09-13 10:41:41,PUSH 1,,Overhead Press (Dumbbell),2,12.0,12,0,0,,,10.0,overhead press,144.0,12.0
2021-09-13 10:41:41,PUSH 1,,Overhead Press (Dumbbell),3,12.0,9,0,0,,,10.0,overhead press,108.0,12.0
2021-09-13 10:41:41,PUSH 1,,Overhead Press (Dumbbell),4,12.0,12,0,0,,,10.0,overhead press,144.0,12.0
2021-09-13 10:41:41,PUSH 1,,Lateral Raise (Cable),1,3.75,24,0,0,,,10.0,lateral raise,90.0,3.75
2021-09-13 10:41:41,PUSH 1,,Lateral Raise (Cable),2,3.75,26,0,0,,,10.0,lateral raise,97.5,3.75
2021-09-13 10:41:41,PUSH 1,,Lateral Raise (Cable),3,3.75,30,0,0,,,10.0,lateral raise,112.5,3.75
2021-09-13 10:41:41,PUSH 1,,Lateral Raise (Cable),4,3.75,24,0,0,,,10.0,lateral raise,90.0,3.75
2021-09-13 10:41:41,PUSH 1,,Triceps Pushdown (Cable - Straight Bar),1,21.25,8,0,0,,,10.0,triceps pushdown,170.0,21.25
2021-09-13 10:41:41,PUSH 1,,Triceps Pushdown (Cable - Straight Bar),2,21.25,10,0,0,,,10.0,triceps pushdown,212.5,21.25
2021-09-13 10:41:41,PUSH 1,,Triceps Pushdown (Cable - Straight Bar),3,21.25,10,0,0,,,10.0,triceps pushdown,212.5,21.25
2021-09-13 10:41:41,PUSH 1,,Triceps Pushdown (Cable - Straight Bar),4,21.25,10,0,0,,,10.0,triceps pushdown,212.5,21.25
2021-09-13 10:41:41,PUSH 1,,Face Pull (Cable),1,11.25,20,0,0,,,7.0,face pull,225.0,7.874999999999999
2021-09-13 10:41:41,PUSH 1,,Face Pull (Cable),2,13.75,20,0,0,,,,face pull,275.0,0.0
2021-09-13 10:41:41,PUSH 1,,Face Pull (Cable),3,13.75,20,0,0,,,,face pull,275.0,0.0
2021-09-14 10:59:35,PULL 1,,Lat Pull In,1,8.0,15,0,0,,"Focusing on BACK, BICEPS AND REAR DELTOIDS",,lat pull in,120.0,0.0
2021-09-14 10:59:35,PULL 1,,Lat Pull In,2,8.0,15,0,0,,,,lat pull in,120.0,0.0
2021-09-14 10:59:35,PULL 1,,Bent Over One Arm Row (Dumbbell),1,45.0,10,0,0,,,7.5,bent over one arm row,450.0,33.75
2021-09-14 10:59:35,PULL 1,,Bent Over One Arm Row (Dumbbell),2,45.0,12,0,0,,,9.0,bent over one arm row,540.0,40.5
2021-09-14 10:59:35,PULL 1,,Bent Over One Arm Row (Dumbbell),3,45.0,9,0,0,,,10.0,bent over one arm row,405.0,45.0
2021-09-14 10:59:35,PULL 1,,Lat Pulldown - Wide Grip (Cable),1,40.0,15,0,0,,,10.0,lat pulldown - wide grip,600.0,40.0
2021-09-14 10:59:35,PULL 1,,Lat Pulldown - Wide Grip (Cable),2,40.0,11,0,0,,,10.0,lat pulldown - wide grip,440.0,40.0
2021-09-14 10:59:35,PULL 1,,Lat Pulldown (Cable),1,40.0,13,0,0,,,10.0,lat pulldown,520.0,40.0
2021-09-14 10:59:35,PULL 1,,Lat Pulldown (Cable),2,40.0,12,0,0,,,10.0,lat pulldown,480.0,40.0
2021-09-14 10:59:35,PULL 1,,Lat Pulldown - Underhand Close Grip,1,40.0,10,0,0,,,9.0,lat pulldown - underhand close grip,400.0,36.0
2021-09-14 10:59:35,PULL 1,,Lat Pulldown - Underhand Close Grip,2,40.0,13,0,0,,,9.0,lat pulldown - underhand close grip,520.0,36.0
2021-09-14 10:59:35,PULL 1,,Face Pull (Cable),1,21.25,15,0,0,,,9.0,face pull,318.75,19.125
2021-09-14 10:59:35,PULL 1,,Face Pull (Cable),2,18.75,15,0,0,,,8.0,face pull,281.25,15.0
2021-09-14 10:59:35,PULL 1,,Incline Row (Dumbbell),1,20.0,10,0,0,,,9.0,incline row,200.0,18.0
2021-09-14 10:59:35,PULL 1,,Incline Row (Dumbbell),2,16.0,10,0,0,,,9.5,incline row,160.0,15.2
2021-09-14 10:59:35,PULL 1,,Incline Row (Dumbbell),3,12.0,13,0,0,,,9.5,incline row,156.0,11.399999999999999
2021-09-14 10:59:35,PULL 1,,Bicep Curl (Barbell),1,17.5,15,0,0,,,8.0,bicep curl,262.5,14.0
2021-09-14 10:59:35,PULL 1,,Bicep Curl (Barbell),2,22.5,8,0,0,,,10.0,bicep curl,180.0,22.5
2021-09-14 10:59:35,PULL 1,,Bicep Curl (Barbell),3,22.5,6,0,0,,,10.0,bicep curl,135.0,22.5
2021-09-14 10:59:35,PULL 1,,Bicep Curl (Barbell),4,22.5,4,0,0,,,10.0,bicep curl,90.0,22.5
2021-09-14 10:59:35,PULL 1,,Incline Curl (Dumbbell),1,12.0,10,0,0,,,,incline curl,120.0,0.0
2021-09-14 10:59:35,PULL 1,,Incline Curl (Dumbbell),2,12.0,9,0,0,,,10.0,incline curl,108.0,12.0
2021-09-14 10:59:35,PULL 1,,Incline Curl (Dumbbell),3,12.0,6,0,0,,,10.0,incline curl,72.0,12.0
2021-09-16 11:32:01,PUSH 2,,Overhead Press (Barbell),1,20.0,10,0,0,,"Focusing on CHEST, SHOULDERS and TRICEPS",9.0,overhead press,200.0,18.0
2021-09-16 11:32:01,PUSH 2,,Overhead Press (Barbell),2,20.0,10,0,0,,,9.5,overhead press,200.0,19.0
2021-09-16 11:32:01,PUSH 2,,Overhead Press (Barbell),3,20.0,10,0,0,,,9.5,overhead press,200.0,19.0
2021-09-16 11:32:01,PUSH 2,,Overhead Press (Barbell),4,20.0,8,0,0,,,10.0,overhead press,160.0,20.0
2021-09-16 11:32:01,PUSH 2,,Bench Press - Close Grip (Barbell),1,35.0,10,0,0,,,7.0,bench press - close grip,350.0,24.5
2021-09-16 11:32:01,PUSH 2,,Bench Press - Close Grip (Barbell),2,35.0,9,0,0,,,10.0,bench press - close grip,315.0,35.0
2021-09-16 11:32:01,PUSH 2,,Bench Press - Close Grip (Barbell),3,35.0,7,0,0,,,10.0,bench press - close grip,245.0,35.0
