date,distance,effective_load,exercise_name,exercise_normalized,notes,reps,rpe,seconds,set_order,set_volume,weight,workout_name,workout_notes
2021-09-13 10:41:41,0.0,31.5,Bench Press (Barbell),bench press,,10,9.0,0,1,350.0,35.0,PUSH 1,"Focusing on CHEST, SHOULDERS and TRICEPS"
2021-09-13 10:41:41,0.0,35.0,Bench Press (Barbell),bench press,,9,10.0,0,2,315.0,35.0,PUSH 1,
2021-09-13 10:41:41,0.0,35.0,Bench Press (Barbell),bench press,,8,10.0,0,3,280.0,35.0,PUSH 1,
2021-09-13 10:41:41,0.0,35.0,Bench Press (Barbell),bench press,,7,10.0,0,4,245.0,35.0,PUSH 1,
2021-09-13 10:41:41,0.0,11.875,Incline Cable Chest Fly,incline cable chest fly,,12,9.5,0,1,150.0,12.5,PUSH 1,
2021-09-13 10:41:41,0.0,12.5,Incline Cable Chest Fly,incline cable chest fly,,10,10.0,0,2,125.0,12.5,PUSH 1,
2021-09-13 10:41:41,0.0,12.5,Incline Cable Chest Fly,incline cable chest fly,,8,10.0,0,3,100.0,12.5,PUSH 1,
2021-09-13 10:41:41,0.0,12.5,Incline Cable Chest Fly,incline cable chest fly,,7,10.0,0,4,87.5,12.5,PUSH 1,
2021-09-13 10:41:41,0.0,9.600000000000001,Overhead Press (Dumbbell),overhead press,,10,8.0,0,1,120.0,12.0,PUSH 1,
2021-09-13 10:41:41,0.0,12.0,Overhead Press (Dumbbell),overhead press,,12,10.0,0,2,144.0,12.0,PUSH 1,
2021-09-13 10:41:41,0.0,12.0,Overhead Press (Dumbbell),overhead press,,9,10.0,0,3,108.0,12.0,PUSH 1,
2021-09-13 10:41:41,0.0,12.0,Overhead Press (Dumbbell),overhead press,,12,10.0,0,4,144.0,12.0,PUSH 1,
2021-09-13 10:41:41,0.0,3.75,Lateral Raise (Cable),lateral raise,,24,10.0,0,1,90.0,3.75,PUSH 1,
2021-09-13 10:41:41,0.0,3.75,Lateral Raise (Cable),lateral raise,,26,10.0,0,2,97.5,3.75,PUSH 1,
2021-09-13 10:41:41,0.0,3.75,Lateral Raise (Cable),lateral raise,,30,10.0,0,3,112.5,3.75,PUSH 1,
2021-09-13 10:41:41,0.0,3.75,Lateral Raise (Cable),lateral raise,,24,10.0,0,4,90.0,3.75,PUSH 1,
2021-09-13 10:41:41,0.0,21.25,Triceps Pushdown (Cable - Straight Bar),triceps pushdown,,8,10.0,0,1,170.0,21.25,PUSH 1,
2021-09-13 10:41:41,0.0,21.25,Triceps Pushdown (Cable - Straight Bar),triceps pushdown,,10,10.0,0,2,212.5,21.25,PUSH 1,
2021-09-13 10:41:41,0.0,21.25,Triceps Pushdown (Cable - Straight Bar),triceps pushdown,,10,10.0,0,3,212.5,21.25,PUSH 1,
2021-09-13 10:41:41,0.0,21.25,Triceps Pushdown (Cable - Straight Bar),triceps pushdown,,10,10.0,0,4,212.5,21.25,PUSH 1,
2021-09-13 10:41:41,0.0,7.874999999999999,Face Pull (Cable),face pull,,20,7.0,0,1,225.0,11.25,PUSH 1,
2021-09-13 10:41:41,0.0,0.0,Face Pull (Cable),face pull,,20,,0,2,275.0,13.75,PUSH 1,
2021-09-13 10:41:41,0.0,0.0,Face Pull (Cable),face pull,,20,,0,3,275.0,13.75,PUSH 1,
2021-09-14 10:59:35,0.0,0.0,Lat Pull In,lat pull in,,15,,0,1,120.0,8.0,PULL 1,"Focusing on BACK, BICEPS AND REAR DELTOIDS"
2021-09-14 10:59:35,0.0,0.0,Lat Pull In,lat pull in,,15,,0,2,120.0,8.0,PULL 1,
2021-09-14 10:59:35,0.0,33.75,Bent Over One Arm Row (Dumbbell),bent over one arm row,,10,7.5,0,1,450.0,45.0,PULL 1,
2021-09-14 10:59:35,0.0,40.5,Bent Over One Arm Row (Dumbbell),bent over one arm row,,12,9.0,0,2,540.0,45.0,PULL 1,
2021-09-14 10:59:35,0.0,45.0,Bent Over One Arm Row (Dumbbell),bent over one arm row,,9,10.0,0,3,405.0,45.0,PULL 1,
2021-09-14 10:59:35,0.0,40.0,Lat Pulldown - Wide Grip (Cable),lat pulldown - wide grip,,15,10.0,0,1,600.0,40.0,PULL 1,
2021-09-14 10:59:35,0.0,40.0,Lat Pulldown - Wide Grip (Cable),lat pulldown - wide grip,,11,10.0,0,2,440.0,40.0,PULL 1,
2021-09-14 10:59:35,0.0,40.0,Lat Pulldown (Cable),lat pulldown,,13,10.0,0,1,520.0,40.0,PULL 1,
